subject_id	predicate_id	object_id	mapping_justification
unit:MegaV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA633_002	semapv:ManualMappingCuration
unit:MegaV-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA636_003	semapv:ManualMappingCuration
unit:J-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA378_003	semapv:ManualMappingCuration
unit:GigaBIT-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA051_003	semapv:ManualMappingCuration
unit:M4	skos:exactMatch	eclass:IRDI_0173_1_05_AAA132_003	semapv:ManualMappingCuration
unit:MicroA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA442_003	semapv:ManualMappingCuration
unit:MicroC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA625_003	semapv:ManualMappingCuration
unit:MicroC-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA267_003	semapv:ManualMappingCuration
unit:MicroC-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA416_003	semapv:ManualMappingCuration
unit:MicroFARAD-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA004_003	semapv:ManualMappingCuration
unit:MicroH	skos:exactMatch	eclass:IRDI_0173_1_05_AAA492_003	semapv:ManualMappingCuration
unit:MicroH-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA296_003	semapv:ManualMappingCuration
unit:MicroN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA236_003	semapv:ManualMappingCuration
unit:MicroN-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA266_003	semapv:ManualMappingCuration
unit:MicroOHM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA460_003	semapv:ManualMappingCuration
unit:MicroPA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA273_003	semapv:ManualMappingCuration
unit:MicroRAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA618_003	semapv:ManualMappingCuration
unit:MicroSEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA496_003	semapv:ManualMappingCuration
unit:MicroS	skos:exactMatch	eclass:IRDI_0173_1_05_AAA010_003	semapv:ManualMappingCuration
unit:BAR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA044_002	semapv:ManualMappingCuration
unit:BBL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA291_003	semapv:ManualMappingCuration
unit:BBL_US	skos:exactMatch	eclass:IRDI_0173_1_05_AAA291_003	semapv:ManualMappingCuration
unit:BQ	skos:exactMatch	eclass:IRDI_0173_1_05_AAA308_003	semapv:ManualMappingCuration
unit:BU_US	skos:exactMatch	eclass:IRDI_0173_1_05_AAA022_003	semapv:ManualMappingCuration
unit:BU_UK	skos:exactMatch	eclass:IRDI_0173_1_05_AAA989_002	semapv:ManualMappingCuration
unit:MilliFARAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA648_003	semapv:ManualMappingCuration
unit:MilliGM-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA719_003	semapv:ManualMappingCuration
unit:MilliGRAY	skos:exactMatch	eclass:IRDI_0173_1_05_AAA087_003	semapv:ManualMappingCuration
unit:MilliH	skos:exactMatch	eclass:IRDI_0173_1_05_AAA047_003	semapv:ManualMappingCuration
unit:MilliJ	skos:exactMatch	eclass:IRDI_0173_1_05_AAA159_003	semapv:ManualMappingCuration
unit:MilliM-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA068_003	semapv:ManualMappingCuration
unit:MilliM2-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA096_003	semapv:ManualMappingCuration
unit:MilliMOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA458_003	semapv:ManualMappingCuration
unit:MOL-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA368_003	semapv:ManualMappingCuration
unit:MilliN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA093_003	semapv:ManualMappingCuration
unit:MilliN-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA077_003	semapv:ManualMappingCuration
unit:MilliPA-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA297_003	semapv:ManualMappingCuration
unit:MilliRAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA144_004	semapv:ManualMappingCuration
unit:MilliSEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA114_003	semapv:ManualMappingCuration
unit:MilliS	skos:exactMatch	eclass:IRDI_0173_1_05_AAA417_003	semapv:ManualMappingCuration
unit:MilliSV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA248_003	semapv:ManualMappingCuration
unit:MilliT	skos:exactMatch	eclass:IRDI_0173_1_05_AAA549_003	semapv:ManualMappingCuration
unit:MicroV-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA048_003	semapv:ManualMappingCuration
unit:MilliV-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA777_004	semapv:ManualMappingCuration
unit:MilliW	skos:exactMatch	eclass:IRDI_0173_1_05_AAA143_003	semapv:ManualMappingCuration
unit:MilliW-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA053_003	semapv:ManualMappingCuration
unit:MilliWB	skos:exactMatch	eclass:IRDI_0173_1_05_AAA270_003	semapv:ManualMappingCuration
unit:MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA103_002	semapv:ManualMappingCuration
unit:MOL-PER-DeciM3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA537_003	semapv:ManualMappingCuration
unit:MOL-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA643_003	semapv:ManualMappingCuration
unit:MOL-PER-L	skos:exactMatch	eclass:IRDI_0173_1_05_AAA286_003	semapv:ManualMappingCuration
unit:NanoA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA764_003	semapv:ManualMappingCuration
unit:NanoC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA306_003	semapv:ManualMappingCuration
unit:NanoFARAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA275_003	semapv:ManualMappingCuration
unit:NanoFARAD-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA020_003	semapv:ManualMappingCuration
unit:NanoH	skos:exactMatch	eclass:IRDI_0173_1_05_AAA672_003	semapv:ManualMappingCuration
unit:NanoH-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA506_003	semapv:ManualMappingCuration
unit:NanoM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA571_003	semapv:ManualMappingCuration
unit:NanoSEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA039_003	semapv:ManualMappingCuration
unit:NanoT	skos:exactMatch	eclass:IRDI_0173_1_05_AAA560_003	semapv:ManualMappingCuration
unit:NanoW	skos:exactMatch	eclass:IRDI_0173_1_05_AAA195_003	semapv:ManualMappingCuration
unit:NP	skos:exactMatch	eclass:IRDI_0173_1_05_AAA229_003	semapv:ManualMappingCuration
unit:PicoM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA223_003	semapv:ManualMappingCuration
unit:N-M-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA080_003	semapv:ManualMappingCuration
unit:N-M2-PER-KiloGM2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA009_003	semapv:ManualMappingCuration
unit:N-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA035_003	semapv:ManualMappingCuration
unit:N-PER-MilliM2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA387_003	semapv:ManualMappingCuration
unit:N-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA244_003	semapv:ManualMappingCuration
unit:N-SEC-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA487_003	semapv:ManualMappingCuration
unit:OHM-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA503_003	semapv:ManualMappingCuration
unit:UNITLESS	skos:exactMatch	eclass:IRDI_0173_1_05_AAA006_003	semapv:ManualMappingCuration
unit:PA-PER-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA760_003	semapv:ManualMappingCuration
unit:PA-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA470_003	semapv:ManualMappingCuration
unit:PA-SEC-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA027_003	semapv:ManualMappingCuration
unit:PA-SEC-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA396_003	semapv:ManualMappingCuration
unit:CentiPOISE	skos:exactMatch	eclass:IRDI_0173_1_05_AAB058_002	semapv:ManualMappingCuration
unit:PicoA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA071_003	semapv:ManualMappingCuration
unit:PicoC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA439_003	semapv:ManualMappingCuration
unit:PicoFARAD-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA135_003	semapv:ManualMappingCuration
unit:PicoH	skos:exactMatch	eclass:IRDI_0173_1_05_AAA261_003	semapv:ManualMappingCuration
unit:KiloBIT-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA392_004	semapv:ManualMappingCuration
unit:PicoW	skos:exactMatch	eclass:IRDI_0173_1_05_AAA513_003	semapv:ManualMappingCuration
unit:PicoW-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA669_003	semapv:ManualMappingCuration
unit:LB_F	skos:exactMatch	eclass:IRDI_0173_1_05_AAA137_003	semapv:ManualMappingCuration
unit:MilliC-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA327_003	semapv:ManualMappingCuration
unit:RAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA012_003	semapv:ManualMappingCuration
unit:RAD-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA705_003	semapv:ManualMappingCuration
unit:PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA398_003	semapv:ManualMappingCuration
unit:PER-H	skos:exactMatch	eclass:IRDI_0173_1_05_AAA556_003	semapv:ManualMappingCuration
unit:PER-K	skos:exactMatch	eclass:IRDI_0173_1_05_AAA409_003	semapv:ManualMappingCuration
unit:PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA260_003	semapv:ManualMappingCuration
unit:PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA139_003	semapv:ManualMappingCuration
unit:PER-MIN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA650_003	semapv:ManualMappingCuration
unit:PER-MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA371_003	semapv:ManualMappingCuration
unit:PER-PA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA090_003	semapv:ManualMappingCuration
unit:PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA043_002	semapv:ManualMappingCuration
unit:CD	skos:exactMatch	eclass:IRDI_0173_1_05_AAA045_003	semapv:ManualMappingCuration
unit:DEG_C	skos:exactMatch	eclass:IRDI_0173_1_05_AAA567_004	semapv:ManualMappingCuration
unit:C-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA337_003	semapv:ManualMappingCuration
unit:CentiL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA624_002	semapv:ManualMappingCuration
unit:CentiM2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA365_003	semapv:ManualMappingCuration
unit:CentiM3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA100_003	semapv:ManualMappingCuration
unit:CentiM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA008_003	semapv:ManualMappingCuration
unit:C	skos:exactMatch	eclass:IRDI_0173_1_05_AAA397_003	semapv:ManualMappingCuration
unit:Ci	skos:exactMatch	eclass:IRDI_0173_1_05_AAA163_002	semapv:ManualMappingCuration
unit:Hundredweight_US	skos:exactMatch	eclass:IRDI_0173_1_05_AAB059_002	semapv:ManualMappingCuration
unit:CWT_LONG	skos:exactMatch	eclass:IRDI_0173_1_05_AAB062_002	semapv:ManualMappingCuration
unit:Hundredweight_UK	skos:exactMatch	eclass:IRDI_0173_1_05_AAB062_002	semapv:ManualMappingCuration
unit:PER-SEC-SR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA382_003	semapv:ManualMappingCuration
